htsc_code,ymd,open,close,high,low,volume,open_interest,settle
AG2410.SHF,20240801,7455.0,7502.0,7557.0,7433.0,263682.0,211046.0,7492.0
AG2410.SHF,20240802,7530.0,7472.0,7549.0,7291.0,302671.0,202133.0,7420.0
AG2410.SHF,20240805,7505.0,7221.0,7510.0,7165.0,394350.0,197880.0,7296.0
AG2410.SHF,20240806,6900.0,6885.0,7088.0,6813.0,330269.0,193597.0,6959.0
AG2410.SHF,20240807,6866.0,6935.0,6993.0,6862.0,213246.0,198773.0,6932.0
AG2410.SHF,20240808,6953.0,6912.0,6988.0,6869.0,153600.0,198178.0,6930.0
AU2410.SHF,20240801,566.52,570.9,573.48,565.5,228522.0,178178.0,569.12
AU2410.SHF,20240802,572.42,574.04,574.3,568.18,263385.0,180478.0,571.66
AU2410.SHF,20240805,574.42,559.94,575.38,554.78,489030.0,174392.0,563.12
AU2410.SHF,20240806,546.0,554.18,559.16,545.44,349865.0,167620.0,552.86
AU2410.SHF,20240807,552.6,556.06,556.96,551.8,256432.0,166657.0,554.12
AU2410.SHF,20240808,557.82,556.1,558.08,552.8,181575.0,165949.0,555.7
CU2410.SHF,20240801,74850.0,74900.0,75620.0,74680.0,53443.0,102335.0,75080.0
CU2410.SHF,20240802,74570.0,73810.0,74990.0,73390.0,74374.0,107649.0,74120.0
CU2410.SHF,20240805,73840.0,72300.0,74150.0,72290.0,92967.0,117021.0,73130.0
CU2410.SHF,20240806,70630.0,70980.0,72340.0,70630.0,109710.0,118697.0,71260.0
CU2410.SHF,20240807,70900.0,71520.0,72080.0,70900.0,68183.0,122937.0,71580.0
CU2410.SHF,20240808,71380.0,70800.0,71530.0,70740.0,68124.0,128590.0,71050.0
EC2410.INE,20240801,3505.3,3515.0,3575.0,3394.0,42401.0,28535.0,3477.7
EC2410.INE,20240802,3489.0,3653.0,3677.9,3460.0,33467.0,26436.0,3565.4
EC2410.INE,20240805,3601.0,3584.7,3709.0,3506.7,35748.0,26582.0,3601.6
EC2410.INE,20240806,3615.0,3626.7,3678.0,3553.1,23521.0,26302.0,3607.2
EC2410.INE,20240807,3639.9,3665.0,3741.2,3590.0,23156.0,25115.0,3675.6
EC2410.INE,20240808,3546.0,3390.0,3579.0,3336.6,31199.0,22529.0,3439.7
SC2410.INE,20240801,581.1,589.4,590.3,576.8,30365.0,12163.0,583.4
SC2410.INE,20240802,590.0,577.5,590.7,576.0,22483.0,13273.0,581.6
SC2410.INE,20240805,564.0,544.1,565.2,540.3,57130.0,18563.0,553.7
SC2410.INE,20240806,541.3,546.5,555.3,538.0,43274.0,19142.0,546.2
SC2410.INE,20240807,539.3,545.0,549.7,538.8,37622.0,21092.0,544.3
SC2410.INE,20240808,554.0,552.1,558.9,550.8,50040.0,21295.0,554.6
V2410.DCE,20240801,5742.0,5721.0,5795.0,5713.0,8660.0,15020.0,5755.0
V2410.DCE,20240802,5719.0,5743.0,5754.0,5707.0,5271.0,15035.0,5734.0
V2410.DCE,20240805,5730.0,5717.0,5753.0,5676.0,8354.0,15511.0,5722.0
V2410.DCE,20240806,5722.0,5660.0,5758.0,5658.0,9177.0,15506.0,5704.0
V2410.DCE,20240807,5648.0,5657.0,5722.0,5639.0,7867.0,15379.0,5684.0
V2410.DCE,20240808,5663.0,5618.0,5692.0,5611.0,9652.0,16494.0,5652.0
